PdmarticleID;Bezeichnung;"Externer Schlüssel";StateID;"Passende Ventile";"+ /";"Passende Antriebe";"Product family 2 from Actuator";Preisempfehlung;"Regeln für Ventil Dimsionierung";"Export Media manually changed";"Export Media";6986;6987;Typ;Produktfamilie;"Schliessdruck Δps";"Differenzdruck Δpmax Wert";"kv (Werkseinstellung)";Pfad;Versions-Nr
107541;R422/LR24A-S;R422/LR24A-S;;R422;/;LR24A-S;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R422/LR24A-S;Regelkugelhahn;1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";42
107542;R422+LR24A-SR;R422+LR24A-SR;;R422;+;LR24A-SR;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R422+LR24A-SR;Regelkugelhahn;1400 kPa;200 kPa;;"EU\Inbox\Kombinationen\Folder..4/..5\";42
107543;R422/LR24A-SR;R422/LR24A-SR;;R422;/;LR24A-SR;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R422/LR24A-SR;Regelkugelhahn;1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";42
107546;R422+LRC24A-SR;R422+LRC24A-SR;;R422;+;LRC24A-SR;Schnellläufer;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R422+LRC24A-SR;Regelkugelhahn;1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";42
107547;R422/LRC24A-SR;R422/LRC24A-SR;;R422;/;LRC24A-SR;Schnellläufer;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R422/LRC24A-SR;Regelkugelhahn;1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";42
107632;R538+NR230A;R538+NR230A;;R538;+;NR230A;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R538+NR230A;Regelkugelhahn;1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";43
107633;R538/NR230A;R538/NR230A;;R538;/;NR230A;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R538/NR230A;Regelkugelhahn;1400 kPa;200 kPa;;"EU\Inbox\Kombinationen\Folder..4/..5\";43
107634;R538+NR230A-S;R538+NR230A-S;;R538;+;NR230A-S;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R538+NR230A-S;Regelkugelhahn;1400 kPa;200 kPa;;"EU\Inbox\Kombinationen\Folder..4/..5\";42
107635;R538/NR230A-S;R538/NR230A-S;;R538;/;NR230A-S;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R538/NR230A-S;Regelkugelhahn;1400 kPa;200 kPa;;"EU\Inbox\Kombinationen\Folder..4/..5\";42
107636;R538+NR24A;R538+NR24A;;R538;+;NR24A;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R538+NR24A;Regelkugelhahn;1400 kPa;200 kPa;;"EU\Inbox\Kombinationen\Folder..4/..5\";44
107637;R538/NR24A;R538/NR24A;;R538;/;NR24A;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R538/NR24A;Regelkugelhahn;1400 kPa;200 kPa;;"EU\Inbox\Kombinationen\Folder..4/..5\";44
