PdmarticleID;Label;"External Key";StateID;"Suitable valves";"Installation options symbol";"Suitable actuators";"Product family 2 from Actuator";"Recommended price";"Rules for valve sizing";"Export Media manually changed";"Export Media";6986;6987;Type;"Product family";"Closing pressure Δps";"Differential pressure Δpmax value";"kv (factory setting)";Path;"Version Number"
107543;R422/LR24A-SR;R422/LR24A-SR;;R422;/;LR24A-SR;"Standard actuator";1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R422/LR24A-SR;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";41
107546;R422+LRC24A-SR;R422+LRC24A-SR;;R422;+;LRC24A-SR;"Fast runner";1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R422+LRC24A-SR;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";41
107547;R422/LRC24A-SR;R422/LRC24A-SR;;R422;/;LRC24A-SR;"Fast runner";1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R422/LRC24A-SR;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";41
107632;R538+NR230A;R538+NR230A;;R538;+;NR230A;"Standard actuator";1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R538+NR230A;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";42
107633;R538/NR230A;R538/NR230A;;R538;/;NR230A;"Standard actuator";1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R538/NR230A;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";42
107634;R538+NR230A-S;R538+NR230A-S;;R538;+;NR230A-S;"Standard actuator";0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R538+NR230A-S;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";41
107635;R538/NR230A-S;R538/NR230A-S;;R538;/;NR230A-S;"Standard actuator";0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R538/NR230A-S;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";41
107636;R538+NR24A;R538+NR24A;;R538;+;NR24A;"Standard actuator";1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R538+NR24A;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";43
107637;R538/NR24A;R538/NR24A;;R538;/;NR24A;"Standard actuator";1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R538/NR24A;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";43
107640;R538+NR24A-MP;R538+NR24A-MP;;R538;+;NR24A-MP;"Communicative actuator";0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R538+NR24A-MP;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";42
